;Date;Price;Open;High;Low;Vol.;Change %
0;Jul 31, 2019;170500;176000;176500;165500;1.33M;-3.67%
1;Jul 30, 2019;177000;180000;183500;177000;0.00K;-1.12%
2;Jul 29, 2019;179000;183500;184500;179000;429.49K;-3.24%
3;Jul 28, 2019;185000;185000;185000;185000;-;0.00%
4;Jul 26, 2019;185000;177000;186000;177000;577.81K;3.93%
5;Jul 25, 2019;178000;179000;180500;176500;510.73K;-1.11%
6;Jul 24, 2019;180000;182500;183000;178000;462.20K;-1.10%
7;Jul 23, 2019;182000;184500;185000;181000;351.39K;-1.36%
8;Jul 22, 2019;184500;185500;187500;184000;268.94K;0.00%
9;Jul 21, 2019;184500;184500;184500;184500;-;0.00%
10;Jul 19, 2019;184500;180500;185000;180500;450.34K;2.22%
11;Jul 18, 2019;180500;182500;184500;179500;560.03K;-2.17%
12;Jul 17, 2019;184500;189000;189500;182500;466.58K;-2.12%
13;Jul 16, 2019;188500;182500;191000;182500;532.27K;2.72%
14;Jul 15, 2019;183500;189000;190500;181000;625.20K;-2.65%
15;Jul 14, 2019;188500;188500;188500;188500;-;0.00%
16;Jul 12, 2019;188500;190500;191000;187500;343.83K;-1.57%
17;Jul 11, 2019;191500;189500;193000;188000;726.25K;1.32%
18;Jul 10, 2019;189000;193500;195000;187500;633.93K;-1.82%
19;Jul 09, 2019;192500;205000;206000;184000;1.46M;-6.55%
20;Jul 08, 2019;206000;207500;209500;205500;263.20K;-0.96%
21;Jul 07, 2019;208000;208000;208000;208000;-;0.00%
22;Jul 05, 2019;208000;203500;208000;203500;259.97K;2.21%
23;Jul 04, 2019;203500;205500;206500;202500;295.61K;-1.21%
24;Jul 03, 2019;206000;205500;208000;204500;188.73K;0.49%
25;Jul 02, 2019;205000;207000;209000;204500;217.46K;-1.44%
26;Jul 01, 2019;208000;206000;209000;204500;379.61K;1.22%
27;Jun 30, 2019;205500;205500;205500;205500;-;0.00%
28;Jun 28, 2019;205500;203000;206000;201500;281.07K;0.74%
29;Jun 27, 2019;204000;207500;209000;203000;605.72K;-3.09%
30;Jun 26, 2019;210500;208000;211500;205500;297.71K;1.20%
31;Jun 25, 2019;208000;208000;209000;204000;381.44K;-0.24%
32;Jun 24, 2019;208500;212500;214000;207500;344.98K;-1.88%
33;Jun 23, 2019;212500;212500;212500;212500;-;0.00%
34;Jun 21, 2019;212500;214500;215000;210000;837.68K;-0.70%
35;Jun 20, 2019;214000;212500;214000;211500;307.90K;1.18%
36;Jun 19, 2019;211500;210500;212000;209000;378.51K;1.68%
37;Jun 18, 2019;208000;205000;210000;204500;432.07K;1.46%
38;Jun 17, 2019;205000;201000;205500;199500;323.70K;1.99%
39;Jun 16, 2019;201000;201000;201000;201000;-;0.00%
40;Jun 14, 2019;201000;206500;206500;200000;416.98K;-2.90%
41;Jun 13, 2019;207000;204500;207000;204000;506.73K;1.47%
42;Jun 12, 2019;204000;203000;204500;201000;313.17K;0.99%
43;Jun 11, 2019;202000;198500;203000;198000;375.88K;1.76%
44;Jun 10, 2019;198500;198000;199000;196000;294.80K;1.02%
45;Jun 07, 2019;196500;196500;197000;194500;249.58K;0.26%
46;Jun 05, 2019;196000;198500;198500;195000;293.74K;0.26%
47;Jun 04, 2019;195500;194000;197000;191000;406.75K;1.30%
48;Jun 03, 2019;193000;189500;193000;187500;502.60K;1.58%
49;May 31, 2019;190000;185000;193500;184500;666.16K;2.15%
50;May 30, 2019;186000;185500;187000;182000;427.26K;0.27%
51;May 29, 2019;185500;186000;187000;182000;570.73K;-0.27%
52;May 28, 2019;186000;174000;186000;174000;926.52K;6.90%
53;May 27, 2019;174000;181500;182000;172000;739.98K;-3.87%
54;May 24, 2019;181000;179500;182500;178000;384.31K;0.28%
55;May 23, 2019;180500;185000;185500;180000;543.15K;-2.17%
56;May 22, 2019;184500;182500;185500;182500;517.31K;1.93%
57;May 21, 2019;181000;183000;186000;180500;1.18M;-3.72%
58;May 20, 2019;188000;195500;197500;187000;517.71K;-3.84%
59;May 17, 2019;195500;200000;202000;195000;265.07K;-0.51%
60;May 16, 2019;196500;197500;202000;195000;419.66K;0.26%
61;May 15, 2019;196000;197500;198500;195500;352.27K;0.26%
62;May 14, 2019;195500;192500;199500;192500;495.25K;0.51%
63;May 13, 2019;194500;200000;203000;193500;543.43K;-3.47%
64;May 10, 2019;201500;209000;209000;198500;691.38K;-4.05%
65;May 09, 2019;210000;209000;213000;208000;816.92K;2.19%
66;May 08, 2019;205500;202500;207000;202500;317.60K;0.00%
67;May 07, 2019;205500;201000;208500;201000;416.56K;0.49%
68;May 03, 2019;204500;207000;207500;202500;429.66K;-1.21%
69;May 02, 2019;207000;212000;212000;207000;465.38K;-2.36%
70;Apr 30, 2019;212000;216000;216000;211500;288.91K;-1.85%
71;Apr 29, 2019;216000;213500;216500;212000;271.23K;1.89%
72;Apr 26, 2019;212000;210500;214500;209500;362.27K;0.24%
73;Apr 25, 2019;211500;216000;219000;210000;527.80K;-2.98%
74;Apr 24, 2019;218000;223000;223500;218000;446.92K;-1.58%
75;Apr 23, 2019;221500;222000;224500;216500;625.46K;0.45%
76;Apr 22, 2019;220500;218500;224000;218000;881.25K;1.15%
77;Apr 19, 2019;218000;204500;220000;204000;1.29M;7.13%
78;Apr 18, 2019;203500;208500;209000;202000;385.38K;-2.40%
79;Apr 17, 2019;208500;208500;211000;207000;310.86K;0.24%
80;Apr 16, 2019;208000;202500;209000;201000;386.48K;2.21%
81;Apr 15, 2019;203500;209500;210000;202500;480.92K;-2.63%
82;Apr 12, 2019;209000;209000;211000;205500;307.80K;-0.71%
83;Apr 11, 2019;210500;206500;210500;205500;645.37K;2.43%
84;Apr 10, 2019;205500;205500;210000;203000;706.41K;0.49%
85;Apr 09, 2019;204500;199500;206000;198500;1.02M;4.60%
86;Apr 08, 2019;195500;194000;195500;192000;364.96K;1.82%
87;Apr 05, 2019;192000;192500;194000;189500;246.82K;-0.26%
88;Apr 04, 2019;192500;194000;195000;192000;267.17K;-0.52%
89;Apr 03, 2019;193500;190500;195000;188000;500.79K;1.84%
90;Apr 02, 2019;190000;183500;190500;183500;663.09K;4.40%
91;Apr 01, 2019;182000;180500;184000;180000;421.76K;0.55%
92;Mar 29, 2019;181000;180500;184000;179000;700.34K;0.28%
93;Mar 28, 2019;180500;180500;185500;178500;975.10K;-1.37%
94;Mar 27, 2019;183000;193000;194000;182000;1.54M;-4.94%
95;Mar 26, 2019;192500;198500;199000;192000;931.44K;-2.78%
96;Mar 25, 2019;198000;198500;200500;197000;265.84K;-0.75%
97;Mar 22, 2019;199500;200500;201500;199000;267.26K;-0.50%
98;Mar 21, 2019;200500;200500;202500;200500;300.73K;-0.25%
99;Mar 20, 2019;201000;203500;204000;200000;343.99K;-0.99%
