;Date;Price;Open;High;Low;Vol.;Change %
0;Jul 31, 2019;337500;330000;342000;330000;185.23K;0.90%
1;Jul 30, 2019;334500;328000;336000;328000;94.94K;0.45%
2;Jul 29, 2019;333000;333500;333500;325000;167.94K;0.00%
3;Jul 28, 2019;333000;333000;333000;333000;-;0.00%
4;Jul 26, 2019;333000;336000;337000;330500;203.08K;-0.89%
5;Jul 25, 2019;336000;345500;346000;335000;458.39K;-4.95%
6;Jul 24, 2019;353500;361000;361000;351000;101.15K;-1.53%
7;Jul 23, 2019;359000;357500;361500;357000;87.70K;0.56%
8;Jul 22, 2019;357000;360000;360000;355500;80.04K;-1.24%
9;Jul 21, 2019;361500;361500;361500;361500;-;0.00%
10;Jul 19, 2019;361500;358500;361500;355000;158.69K;1.54%
11;Jul 18, 2019;356000;353000;359500;352500;145.98K;0.85%
12;Jul 17, 2019;353000;355000;356500;349500;142.25K;0.00%
13;Jul 16, 2019;353000;346000;353000;346000;139.58K;1.73%
14;Jul 15, 2019;347000;344000;348000;342500;95.83K;0.73%
15;Jul 12, 2019;344500;341500;347000;341500;122.03K;1.03%
16;Jul 11, 2019;341000;341500;344000;340000;138.95K;1.04%
17;Jul 10, 2019;337500;339000;344000;337000;131.40K;0.00%
18;Jul 09, 2019;337500;344500;349000;337000;193.80K;-2.17%
19;Jul 08, 2019;345000;352000;352500;343500;147.55K;-2.68%
20;Jul 05, 2019;354500;361000;361000;352000;99.91K;-1.12%
21;Jul 04, 2019;358500;359500;360000;355000;82.59K;0.84%
22;Jul 03, 2019;355500;353000;359500;351000;217.02K;2.01%
23;Jul 02, 2019;348500;352500;355000;348500;105.20K;-1.83%
24;Jul 01, 2019;355000;360000;360000;353000;113.18K;0.14%
25;Jun 28, 2019;354500;350000;356000;348000;163.49K;1.43%
26;Jun 27, 2019;349500;346000;350000;343000;172.69K;0.58%
27;Jun 26, 2019;347500;350500;350500;346500;100.32K;-1.28%
28;Jun 25, 2019;352000;350000;356000;350000;169.26K;1.00%
29;Jun 24, 2019;348500;349000;349000;345000;81.43K;0.14%
30;Jun 21, 2019;348000;350000;351500;346000;121.12K;-1.14%
31;Jun 20, 2019;352000;349500;352000;347500;118.65K;1.00%
32;Jun 19, 2019;348500;349500;350500;346000;100.84K;0.87%
33;Jun 18, 2019;345500;348000;349000;342500;187.76K;-0.86%
34;Jun 17, 2019;348500;344500;350000;343500;147.42K;1.16%
35;Jun 14, 2019;344500;349000;350500;341500;205.28K;-1.29%
36;Jun 13, 2019;349000;345000;349000;339500;335.84K;3.56%
37;Jun 12, 2019;337000;341500;342000;335000;141.45K;-1.17%
38;Jun 11, 2019;341000;338000;341500;329000;284.89K;1.19%
39;Jun 10, 2019;337000;334000;337000;330000;133.46K;1.97%
40;Jun 07, 2019;330500;335000;335000;330000;112.57K;-0.30%
41;Jun 05, 2019;331500;341000;341500;331500;158.67K;-1.78%
42;Jun 04, 2019;337500;337000;339500;333500;104.45K;0.15%
43;Jun 03, 2019;337000;330000;337000;328500;156.15K;1.20%
44;May 31, 2019;333000;329000;336500;327000;222.17K;1.68%
45;May 30, 2019;327500;329500;337500;326000;262.86K;1.39%
46;May 29, 2019;323000;328000;330000;322000;124.93K;-0.92%
47;May 28, 2019;326000;326000;330500;322500;288.18K;0.00%
48;May 27, 2019;326000;324000;329000;322000;114.93K;0.15%
49;May 24, 2019;325500;323000;326500;319000;173.67K;-0.46%
50;May 23, 2019;327000;332000;332000;325000;146.85K;-1.51%
51;May 22, 2019;332000;331000;334000;329500;93.21K;0.76%
52;May 21, 2019;329500;328500;333500;328000;151.84K;-0.15%
53;May 20, 2019;330000;336000;341000;328500;134.50K;-1.20%
54;May 17, 2019;334000;339000;344000;333500;132.22K;-0.45%
55;May 16, 2019;335500;346000;347500;334500;223.85K;-1.47%
56;May 15, 2019;340500;332500;342500;330500;226.11K;2.71%
57;May 14, 2019;331500;328500;335000;328000;220.14K;-0.45%
58;May 13, 2019;333000;340000;342000;332500;229.30K;-3.20%
59;May 10, 2019;344000;341000;349500;339000;243.14K;0.29%
60;May 09, 2019;343000;355500;356500;343000;298.34K;-3.65%
61;May 08, 2019;356000;354000;360000;352500;151.45K;-0.56%
62;May 07, 2019;358000;358000;360000;355000;181.51K;-1.78%
63;May 03, 2019;364500;360500;366000;359000;157.49K;1.53%
64;May 02, 2019;359000;357500;364000;357500;240.25K;-0.55%
65;Apr 30, 2019;361000;366000;368000;356500;247.66K;-1.10%
66;Apr 29, 2019;365000;357000;365000;354000;208.44K;1.81%
67;Apr 26, 2019;358500;363000;364500;358500;184.72K;-1.78%
68;Apr 25, 2019;365000;357500;365500;356500;264.26K;0.97%
69;Apr 24, 2019;361500;371500;371500;359500;373.62K;-2.56%
70;Apr 23, 2019;371000;369500;372500;366500;151.75K;0.13%
71;Apr 22, 2019;370500;368500;374500;368000;164.29K;1.09%
72;Apr 19, 2019;366500;370000;371000;366500;109.94K;-0.68%
73;Apr 18, 2019;369000;369500;373000;367000;262.75K;-0.54%
74;Apr 17, 2019;371000;374000;377000;370500;150.16K;-0.67%
75;Apr 16, 2019;373500;373500;377000;371000;144.19K;-0.13%
76;Apr 15, 2019;374000;379000;381500;373000;218.74K;-1.58%
77;Apr 12, 2019;380000;387000;387000;379500;206.23K;-2.19%
78;Apr 11, 2019;388500;389000;390000;385000;206.64K;-0.13%
79;Apr 10, 2019;389000;387000;389000;381500;171.69K;0.52%
80;Apr 09, 2019;387000;387000;390000;380500;159.29K;0.91%
81;Apr 08, 2019;383500;377000;387000;377000;246.87K;1.59%
82;Apr 05, 2019;377500;377000;379000;374000;111.41K;0.27%
83;Apr 04, 2019;376500;378000;380000;373500;117.45K;0.00%
84;Apr 03, 2019;376500;366500;377000;365500;182.73K;1.21%
85;Apr 02, 2019;372000;372500;375000;369500;124.57K;0.40%
86;Apr 01, 2019;370500;367000;376000;366500;170.85K;1.23%
87;Mar 29, 2019;366000;365000;366000;359000;141.88K;1.39%
88;Mar 28, 2019;361000;361000;364500;359000;153.95K;-0.41%
89;Mar 27, 2019;362500;366000;367000;360500;186.08K;-1.09%
90;Mar 26, 2019;366500;367500;369000;364000;126.12K;-0.14%
91;Mar 25, 2019;367000;368000;371500;364000;261.21K;-3.29%
92;Mar 22, 2019;379500;380000;383500;376000;168.10K;-0.65%
93;Mar 21, 2019;382000;375500;382000;370000;421.68K;5.23%
94;Mar 20, 2019;363000;371000;371000;358500;195.08K;-1.76%
95;Mar 19, 2019;369500;369000;370000;365500;101.64K;0.96%
96;Mar 18, 2019;366000;375000;375000;364500;143.20K;-1.21%
97;Mar 15, 2019;370500;366000;374000;364500;200.97K;0.14%
98;Mar 14, 2019;370000;368000;370000;364500;218.38K;1.93%
99;Mar 13, 2019;363000;365000;365500;359500;130.55K;-0.68%
100;Mar 12, 2019;365500;364500;369500;362500;134.47K;1.25%
101;Mar 11, 2019;361000;364500;365500;358000;176.05K;-0.96%
102;Mar 08, 2019;364500;369500;375000;363500;240.82K;-0.41%
103;Mar 07, 2019;366000;373500;375500;364500;215.47K;-1.88%
104;Mar 06, 2019;373000;373500;376500;370000;185.74K;-0.13%
105;Mar 05, 2019;373500;384500;385000;371500;300.78K;-3.49%
106;Mar 04, 2019;387000;395000;400000;385500;272.59K;-0.90%
107;Feb 28, 2019;390500;391000;393500;387000;232.02K;-0.38%
108;Feb 27, 2019;392000;388000;393000;386000;203.79K;1.55%
109;Feb 26, 2019;386000;385500;388500;380500;186.08K;0.13%
110;Feb 25, 2019;385500;386500;389000;381500;184.02K;0.52%
111;Feb 22, 2019;383500;387000;388000;375500;321.10K;-1.03%
112;Feb 21, 2019;387500;391000;392500;386500;194.63K;-1.77%
113;Feb 20, 2019;394500;390000;395000;388500;187.21K;1.15%
114;Feb 19, 2019;390000;390500;394500;387500;167.44K;-0.26%
115;Feb 18, 2019;391000;383000;395000;382000;390.79K;2.89%
116;Feb 15, 2019;380000;380000;382000;377000;161.52K;0.00%
117;Feb 14, 2019;380000;375500;380000;373000;173.99K;0.53%
118;Feb 13, 2019;378000;372000;378500;371000;238.82K;1.75%
119;Feb 12, 2019;371500;372000;372500;368500;161.48K;-0.13%
120;Feb 11, 2019;372000;374000;375500;369000;212.33K;0.54%
121;Feb 08, 2019;370000;368000;375000;366000;147.81K;0.14%
122;Feb 07, 2019;369500;368000;373000;368000;203.52K;0.41%
123;Feb 01, 2019;368000;369500;373000;367000;185.93K;0.00%
124;Jan 31, 2019;368000;384500;385000;367000;362.37K;-2.90%
125;Jan 30, 2019;379000;378500;382500;368500;290.50K;0.26%
126;Jan 29, 2019;378000;374500;378000;373000;129.30K;0.93%
127;Jan 28, 2019;374500;376500;380500;371000;168.30K;0.27%
128;Jan 25, 2019;373500;364000;376000;363000;179.51K;1.63%
129;Jan 24, 2019;367500;365000;372500;364000;163.62K;-0.41%
130;Jan 23, 2019;369000;365000;371000;361500;135.59K;0.82%
131;Jan 22, 2019;366000;369500;371500;361500;168.83K;-1.08%
132;Jan 21, 2019;370000;370000;373000;366000;185.04K;0.41%
133;Jan 18, 2019;368500;365500;371000;363000;175.04K;2.36%
134;Jan 17, 2019;360000;366000;369500;359500;195.34K;-1.64%
135;Jan 16, 2019;366000;356000;367500;356000;338.21K;2.81%
136;Jan 15, 2019;356000;350500;356000;348500;162.84K;1.57%
137;Jan 14, 2019;350500;349000;354500;347000;116.33K;0.43%
138;Jan 11, 2019;349000;347000;353000;344000;133.49K;0.58%
139;Jan 10, 2019;347000;352000;354000;344500;160.69K;-1.42%
140;Jan 09, 2019;352000;349500;353000;346500;188.36K;0.72%
141;Jan 08, 2019;349500;346500;351500;343000;191.51K;1.90%
