;Date;Price;Open;High;Low;Vol.;Change %
0;Jul 31, 2019;225500;228500;229000;225500;240.06K;-1.53%
1;Jul 30, 2019;229000;227500;231000;227500;121.89K;0.22%
2;Jul 29, 2019;228500;233000;233000;228500;193.49K;-1.72%
3;Jul 28, 2019;232500;232500;232500;232500;-;0.00%
4;Jul 26, 2019;232500;233500;234500;231500;180.34K;-1.69%
5;Jul 25, 2019;236500;237500;239000;234000;166.36K;-0.84%
6;Jul 24, 2019;238500;240500;243000;238000;162.79K;-0.21%
7;Jul 23, 2019;239000;236000;240000;234500;164.68K;1.27%
8;Jul 22, 2019;236000;238000;239000;235500;110.17K;-0.21%
9;Jul 19, 2019;236500;233500;238500;233000;176.79K;1.07%
10;Jul 18, 2019;234000;234000;236000;231500;199.57K;-0.85%
11;Jul 17, 2019;236000;238500;240000;235000;181.41K;-1.46%
12;Jul 16, 2019;239500;240000;244000;237500;207.19K;0.63%
13;Jul 15, 2019;238000;237500;239500;235000;161.08K;0.42%
14;Jul 12, 2019;237000;238500;240000;235500;233.69K;0.00%
15;Jul 11, 2019;237000;239500;241500;237000;305.97K;-0.84%
16;Jul 10, 2019;239000;241000;242000;238000;169.63K;-0.42%
17;Jul 09, 2019;240000;242500;245000;239000;182.84K;-1.03%
18;Jul 08, 2019;242500;245500;245500;242000;160.74K;-1.62%
19;Jul 05, 2019;246500;249000;250500;246000;126.07K;-0.40%
20;Jul 04, 2019;247500;242500;248000;242500;108.79K;1.02%
21;Jul 03, 2019;245000;245000;247500;244000;170.96K;-1.01%
22;Jul 02, 2019;247500;250000;250000;246000;194.63K;-1.79%
23;Jul 01, 2019;252000;247000;253500;246500;344.73K;3.07%
24;Jun 30, 2019;244500;244500;244500;244500;-;0.00%
25;Jun 28, 2019;244500;244500;245500;242500;148.83K;0.00%
26;Jun 27, 2019;244500;242500;245500;240500;174.86K;0.62%
27;Jun 26, 2019;243000;243500;244000;241500;202.62K;-0.82%
28;Jun 25, 2019;245000;247000;247000;243000;174.55K;0.20%
29;Jun 24, 2019;244500;244500;247000;242500;128.70K;0.41%
30;Jun 21, 2019;243500;241000;244000;241000;193.94K;0.62%
31;Jun 20, 2019;242000;242000;243000;241000;164.73K;0.00%
32;Jun 19, 2019;242000;243000;244500;241500;190.40K;1.04%
33;Jun 18, 2019;239500;235500;239500;235000;302.09K;1.91%
34;Jun 17, 2019;235000;239000;239500;234000;315.65K;-1.67%
35;Jun 14, 2019;239000;240500;241500;238000;202.19K;-0.42%
36;Jun 13, 2019;240000;242500;243500;239000;330.51K;-1.44%
37;Jun 12, 2019;243500;242000;247000;241500;363.32K;1.25%
38;Jun 11, 2019;240500;237000;242000;237000;247.94K;1.48%
39;Jun 10, 2019;237000;236000;237000;234500;226.96K;1.28%
40;Jun 07, 2019;234000;238000;238000;231500;383.94K;-1.89%
41;Jun 05, 2019;238500;242000;244000;238000;174.98K;-0.83%
42;Jun 04, 2019;240500;241500;244500;239500;145.82K;-0.41%
43;Jun 03, 2019;241500;237500;242000;235000;227.97K;1.68%
44;May 31, 2019;237500;237000;239500;236000;252.72K;-0.84%
45;May 30, 2019;239500;233000;239500;233000;244.70K;1.27%
46;May 29, 2019;236500;234500;237000;232500;283.16K;0.85%
47;May 28, 2019;234500;233000;236000;232000;407.33K;0.43%
48;May 27, 2019;233500;230000;233500;228000;151.95K;1.97%
49;May 24, 2019;229000;228500;229500;226000;236.66K;-0.87%
50;May 23, 2019;231000;233000;233500;230500;148.00K;-1.07%
51;May 22, 2019;233500;234500;235500;232000;148.93K;0.00%
52;May 21, 2019;233500;232500;235000;231000;215.07K;-0.64%
53;May 20, 2019;235000;235500;239500;234000;136.85K;0.21%
54;May 17, 2019;234500;237000;239500;234500;152.07K;-0.42%
55;May 16, 2019;235500;238500;239000;235000;205.24K;-1.88%
