;Date;Price;Open;High;Low;Vol.;Change %
0;Jul 31, 2019;45350;46250;46600;45000;12.82M;-2.58%
1;Jul 30, 2019;46550;46300;46850;46300;0.22K;0.98%
2;Jul 29, 2019;46100;46800;47050;46000;6.85M;-2.23%
3;Jul 28, 2019;47150;47150;47150;47150;-;0.00%
4;Jul 26, 2019;47150;46650;47150;46550;7.67M;-0.11%
5;Jul 25, 2019;47200;47150;47200;46600;8.38M;1.72%
6;Jul 24, 2019;46400;47100;47150;46250;8.34M;-1.90%
7;Jul 23, 2019;47300;47350;47550;47050;8.90M;0.21%
8;Jul 22, 2019;47200;46800;47300;46600;9.01M;0.85%
9;Jul 21, 2019;46800;46800;46800;46800;-;0.00%
10;Jul 19, 2019;46800;46650;46950;46600;7.98M;1.52%
11;Jul 18, 2019;46100;46450;46450;45650;4.95M;0.11%
12;Jul 17, 2019;46050;46150;46350;45950;5.21M;-1.71%
13;Jul 16, 2019;46850;46450;46850;46300;7.21M;0.86%
14;Jul 15, 2019;46450;45950;46650;45750;4.71M;0.32%
15;Jul 14, 2019;46300;46300;46300;46300;-;0.00%
16;Jul 12, 2019;46300;46350;46400;45800;5.12M;0.22%
17;Jul 11, 2019;46200;46350;46550;46150;10.85M;1.43%
18;Jul 10, 2019;45550;45550;46150;45500;9.17M;1.00%
19;Jul 09, 2019;45100;44850;45450;44700;7.63M;1.58%
20;Jul 08, 2019;44400;44750;44800;44350;7.81M;-2.74%
21;Jul 05, 2019;45650;45950;45950;45250;7.22M;-0.76%
22;Jul 04, 2019;46000;45250;46200;45250;6.36M;1.32%
23;Jul 03, 2019;45400;45750;46350;45200;9.66M;-1.84%
24;Jul 02, 2019;46250;46200;46900;45850;8.43M;-0.75%
25;Jul 01, 2019;46600;47350;47400;46250;11.03M;-0.85%
26;Jun 30, 2019;47000;47000;47000;47000;-;0.00%
27;Jun 28, 2019;47000;47000;47000;46700;12.25M;1.08%
28;Jun 27, 2019;46500;46000;46600;45750;12.58M;1.75%
29;Jun 26, 2019;45700;45800;46000;45600;9.02M;0.22%
30;Jun 25, 2019;45600;45200;45800;45200;6.87M;0.22%
31;Jun 24, 2019;45500;45200;45800;45200;6.07M;-0.44%
32;Jun 23, 2019;45700;45700;45700;45700;-;0.00%
33;Jun 21, 2019;45700;45750;45800;45200;9.32M;0.44%
34;Jun 20, 2019;45500;44850;45500;44850;6.76M;0.33%
35;Jun 19, 2019;45350;45450;45450;45000;9.36M;2.25%
36;Jun 18, 2019;44350;43750;44500;43650;7.98M;1.03%
37;Jun 17, 2019;43900;43750;44050;43400;7.36M;-0.23%
38;Jun 16, 2019;44000;44000;44000;44000;-;0.00%
39;Jun 14, 2019;44000;43750;44150;43300;8.31M;0.57%
40;Jun 13, 2019;43750;44200;44400;43400;16.89M;-1.91%
41;Jun 12, 2019;44600;44800;45050;44300;8.55M;-0.56%
42;Jun 11, 2019;44850;44800;45000;44550;6.63M;0.11%
43;Jun 10, 2019;44800;44300;44850;44050;8.62M;1.36%
44;Jun 07, 2019;44200;43600;44350;43450;11.62M;0.68%
45;Jun 05, 2019;43900;44050;44200;43700;10.82M;1.04%
46;Jun 04, 2019;43450;43400;43700;43000;9.87M;-0.80%
47;Jun 03, 2019;43800;42950;43900;42500;15.08M;3.06%
48;May 31, 2019;42500;42600;42800;42150;10.21M;-0.12%
49;May 30, 2019;42550;42200;42700;42150;9.98M;1.79%
50;May 29, 2019;41800;41850;42100;41300;14.52M;-1.76%
51;May 28, 2019;42550;42550;42950;42150;22.59M;-0.23%
52;May 27, 2019;42650;42500;43000;42350;7.44M;-0.12%
53;May 24, 2019;42700;43800;43800;42400;13.34M;-2.62%
54;May 23, 2019;43850;43900;44000;43250;12.19M;0.80%
55;May 22, 2019;43500;43700;43800;42400;10.70M;0.81%
56;May 21, 2019;43150;42600;43950;42350;18.69M;2.74%
57;May 20, 2019;42000;41650;42100;41550;13.11M;1.94%
58;May 17, 2019;41200;41950;42050;40850;12.29M;-0.84%
59;May 16, 2019;41550;42350;42400;41350;13.62M;-2.35%
60;May 15, 2019;42550;42700;43050;42550;7.66M;-0.23%
61;May 14, 2019;42650;41300;43100;41300;11.54M;0.00%
62;May 13, 2019;42650;42500;43200;42350;7.62M;-0.58%
63;May 10, 2019;42900;42600;43450;42450;13.51M;1.06%
64;May 09, 2019;42450;43900;44250;42450;22.04M;-4.07%
65;May 08, 2019;44250;44300;44850;44200;10.04M;-1.34%
66;May 07, 2019;44850;45250;45300;44400;11.96M;-0.99%
67;May 03, 2019;45300;45900;46050;45300;6.54M;-1.31%
68;May 02, 2019;45900;45500;46150;45400;8.62M;0.11%
69;Apr 30, 2019;45850;46000;46300;45350;10.16M;-0.65%
70;Apr 29, 2019;46150;45150;46150;45100;8.48M;2.90%
71;Apr 26, 2019;44850;44200;45000;43800;9.37M;0.45%
72;Apr 25, 2019;44650;44250;45000;44100;9.52M;-0.22%
73;Apr 24, 2019;44750;45400;45650;44150;12.18M;-1.00%
74;Apr 23, 2019;45200;45050;45500;45000;6.88M;-0.33%
75;Apr 22, 2019;45350;45400;45900;45100;5.90M;0.11%
76;Apr 19, 2019;45300;45750;46000;45250;8.35M;-0.66%
77;Apr 18, 2019;45600;47200;47250;45500;10.83M;-3.08%
78;Apr 17, 2019;47050;47300;47600;47000;5.47M;-0.42%
79;Apr 16, 2019;47250;47400;47400;46800;7.62M;0.43%
80;Apr 15, 2019;47050;47150;47500;47000;8.72M;0.43%
81;Apr 12, 2019;46850;46050;46900;46000;7.65M;1.30%
82;Apr 11, 2019;46250;46700;46800;46150;13.62M;-0.96%
83;Apr 10, 2019;46700;46400;46700;46050;10.35M;0.11%
84;Apr 09, 2019;46650;46700;46950;46200;6.88M;0.00%
85;Apr 08, 2019;46650;47250;47250;46150;8.49M;-0.43%
86;Apr 05, 2019;46850;46950;47550;46600;8.53M;-0.21%
87;Apr 04, 2019;46950;46150;47100;46150;11.44M;0.75%
88;Apr 03, 2019;46600;46750;46750;45800;12.00M;1.86%
89;Apr 02, 2019;45750;45550;46100;45350;8.90M;1.55%
90;Apr 01, 2019;45050;45200;45450;44850;6.79M;0.90%
91;Mar 29, 2019;44650;44500;44900;44200;11.00M;-0.45%
92;Mar 28, 2019;44850;44950;45200;44300;6.81M;-1.10%
93;Mar 27, 2019;45350;44750;45600;44250;9.32M;0.22%
94;Mar 26, 2019;45250;45500;45700;44900;9.65M;-0.55%
95;Mar 25, 2019;45500;45300;45650;44800;8.68M;-2.26%
96;Mar 22, 2019;46550;46850;47000;46250;12.49M;1.53%
97;Mar 21, 2019;45850;44600;46250;44050;21.03M;4.09%
98;Mar 20, 2019;44050;43800;44200;43100;9.83M;0.34%
99;Mar 19, 2019;43900;43750;43900;43550;7.60M;0.46%
100;Mar 18, 2019;43700;43950;44150;43450;8.16M;-1.13%
101;Mar 15, 2019;44200;43800;44250;43700;14.61M;0.80%
102;Mar 14, 2019;43850;43700;44300;43550;18.02M;0.00%
103;Mar 13, 2019;43850;44250;44450;43700;8.10M;-1.79%
