;Date;Price;Open;High;Low;Vol.;Change %
0;Jul 31, 2019;248500;246500;251000;246000;219.26K;0.81%
1;Jul 30, 2019;246500;245000;247500;244000;90.56K;0.20%
2;Jul 29, 2019;246000;247500;249000;244000;120.96K;0.20%
3;Jul 26, 2019;245500;246500;248000;245000;194.50K;-1.21%
4;Jul 25, 2019;248500;254500;255500;248500;195.28K;-2.55%
5;Jul 24, 2019;255000;256000;258000;254000;115.02K;-0.97%
6;Jul 23, 2019;257500;257500;259500;256000;143.04K;0.19%
7;Jul 22, 2019;257000;258500;259000;256000;86.05K;-0.58%
8;Jul 19, 2019;258500;260500;263000;258000;168.42K;-0.39%
9;Jul 18, 2019;259500;258000;261500;258000;75.34K;0.19%
10;Jul 17, 2019;259000;258500;260500;257000;75.40K;-0.19%
11;Jul 16, 2019;259500;260500;261500;257000;109.46K;-0.38%
12;Jul 15, 2019;260500;260000;263000;260000;89.81K;0.19%
13;Jul 12, 2019;260000;254500;261500;254500;114.69K;2.16%
14;Jul 11, 2019;254500;254500;257500;254500;125.38K;0.00%
15;Jul 10, 2019;254500;254500;259000;253500;128.28K;-0.20%
16;Jul 09, 2019;255000;259000;259500;255000;116.10K;-2.11%
17;Jul 08, 2019;260500;262000;263500;258500;129.47K;-0.76%
18;Jul 05, 2019;262500;262000;264000;260500;81.62K;0.19%
19;Jul 04, 2019;262000;260000;262000;258000;99.19K;1.55%
20;Jul 03, 2019;258000;261500;261500;257500;70.80K;-0.96%
21;Jul 02, 2019;260500;257000;262000;256500;98.47K;1.36%
22;Jul 01, 2019;257000;258000;260000;257000;93.12K;-0.77%
23;Jun 28, 2019;259000;257000;263000;257000;137.47K;0.58%
24;Jun 27, 2019;257500;259000;260000;256000;143.32K;-0.58%
25;Jun 26, 2019;259000;257500;260000;257500;91.03K;0.00%
26;Jun 25, 2019;259000;260000;261000;258000;114.32K;-0.38%
27;Jun 24, 2019;260000;261500;263000;259500;78.64K;-0.76%
28;Jun 21, 2019;262000;261000;262500;260000;124.61K;0.58%
29;Jun 20, 2019;260500;262000;262500;259500;117.27K;-0.95%
30;Jun 19, 2019;263000;263500;263500;261000;114.24K;-0.38%
31;Jun 18, 2019;264000;260000;264500;260000;205.33K;0.96%
32;Jun 17, 2019;261500;260000;262000;258000;127.05K;0.97%
33;Jun 16, 2019;259000;259000;259000;259000;-;0.00%
34;Jun 14, 2019;259000;257500;259500;257000;83.97K;-0.19%
35;Jun 13, 2019;259500;257500;259500;256000;196.02K;0.97%
36;Jun 12, 2019;257000;253000;257500;252000;164.41K;1.38%
37;Jun 11, 2019;253500;252500;254500;251500;118.04K;0.00%
38;Jun 10, 2019;253500;255500;256500;250500;180.95K;-0.59%
39;Jun 07, 2019;255000;255500;257000;254500;144.22K;-0.97%
40;Jun 05, 2019;257500;254500;258000;253500;155.96K;1.38%
41;Jun 04, 2019;254000;250500;256500;250000;203.75K;1.60%
42;Jun 03, 2019;250000;250000;251000;248500;144.82K;-0.20%
43;May 31, 2019;250500;250500;253500;249500;146.19K;0.20%
44;May 30, 2019;250000;253000;253500;249500;115.86K;-0.79%
45;May 29, 2019;252000;253500;254000;250000;101.20K;-0.59%
46;May 28, 2019;253500;257500;257500;251000;233.63K;-1.17%
47;May 27, 2019;256500;254000;257000;250000;97.07K;1.38%
48;May 24, 2019;253000;249000;254500;248000;118.37K;0.80%
49;May 23, 2019;251000;250000;252000;246000;201.68K;-0.79%
50;May 22, 2019;253000;256500;258000;251000;159.88K;-1.94%
51;May 21, 2019;258000;258000;259500;256000;108.54K;-0.96%
52;May 20, 2019;260500;259000;262500;256500;169.02K;1.17%
53;May 17, 2019;257500;259000;259000;256500;106.25K;-0.19%
54;May 16, 2019;258000;255500;259500;255000;158.17K;0.00%
55;May 15, 2019;258000;259000;259500;255000;193.41K;-0.58%
56;May 14, 2019;259500;259000;261500;257000;164.98K;0.00%
57;May 13, 2019;259500;259500;260500;258000;133.69K;-1.14%
58;May 10, 2019;262500;263000;263500;259000;217.12K;-0.38%
59;May 09, 2019;263500;262500;263500;260000;325.78K;0.38%
60;May 08, 2019;262500;255000;265000;254500;523.10K;2.34%
61;May 07, 2019;256500;254500;256500;253500;198.79K;0.20%
62;May 03, 2019;256000;250500;257000;250500;296.76K;1.79%
63;May 02, 2019;251500;247000;253500;246000;255.63K;1.62%
64;Apr 30, 2019;247500;248000;248500;246500;138.40K;0.00%
65;Apr 29, 2019;247500;246500;248000;244500;112.18K;0.41%
66;Apr 26, 2019;246500;248000;249000;245500;165.33K;-0.60%
67;Apr 25, 2019;248000;246000;248000;245000;158.50K;0.81%
68;Apr 24, 2019;246000;243500;246500;243000;142.71K;1.03%
69;Apr 23, 2019;243500;245000;245000;243000;61.66K;-0.41%
70;Apr 22, 2019;244500;243500;245000;242500;53.74K;0.41%
71;Apr 19, 2019;243500;244000;245000;243000;71.46K;-0.41%
72;Apr 18, 2019;244500;246000;247000;243500;124.40K;-1.21%
73;Apr 17, 2019;247500;248000;248000;246000;83.14K;0.00%
74;Apr 16, 2019;247500;245000;248000;245000;109.61K;0.61%
75;Apr 15, 2019;246000;244500;247000;244500;104.38K;0.41%
76;Apr 12, 2019;245000;246000;246000;244000;112.31K;0.00%
77;Apr 11, 2019;245000;247500;247500;245000;174.11K;-0.61%
78;Apr 10, 2019;246500;244000;246500;244000;132.01K;1.02%
79;Apr 09, 2019;244000;244500;246000;243500;112.99K;-0.61%
80;Apr 08, 2019;245500;246500;247000;243500;162.44K;-0.41%
81;Apr 05, 2019;246500;246500;247000;244000;160.69K;0.41%
82;Apr 04, 2019;245500;245000;247000;243000;284.78K;1.03%
83;Apr 03, 2019;243000;249500;250000;241000;645.29K;-3.19%
84;Apr 02, 2019;251000;253500;254500;250000;177.06K;-1.38%
85;Apr 01, 2019;254500;251500;255500;251000;179.96K;1.19%
86;Mar 29, 2019;251500;249000;251500;248500;124.50K;0.00%
87;Mar 28, 2019;251500;254000;256000;250500;244.30K;-0.59%
88;Mar 27, 2019;253000;250000;255000;249500;144.73K;1.00%
89;Mar 26, 2019;250500;253000;253500;250500;143.78K;-0.99%
90;Mar 25, 2019;253000;253500;256500;251000;273.73K;0.40%
91;Mar 22, 2019;252000;248000;253500;247000;232.75K;1.00%
92;Mar 21, 2019;249500;250000;251500;248500;126.44K;-0.60%
93;Mar 20, 2019;251000;251500;254500;249500;118.81K;-0.79%
94;Mar 19, 2019;253000;250500;253500;249500;157.77K;0.40%
95;Mar 18, 2019;252000;253500;255500;250000;118.29K;-0.59%
96;Mar 15, 2019;253500;247500;254000;247500;217.04K;2.84%
97;Mar 14, 2019;246500;246000;249000;244500;237.66K;0.41%
98;Mar 13, 2019;245500;248000;248500;244000;226.47K;-1.01%
99;Mar 12, 2019;248000;250500;251000;248000;124.50K;-0.40%
100;Mar 11, 2019;249000;252000;253000;248000;159.63K;-1.19%
101;Mar 08, 2019;252000;253500;256000;251500;96.41K;-0.79%
102;Mar 07, 2019;254000;255000;258000;253000;160.43K;-1.55%
103;Mar 06, 2019;258000;261500;261500;258000;147.64K;-1.15%
104;Mar 05, 2019;261000;260500;263000;259000;166.00K;0.00%
105;Mar 04, 2019;261000;260000;263500;258500;184.97K;0.19%
106;Feb 28, 2019;260500;262000;264000;260500;277.98K;-0.95%
107;Feb 27, 2019;263000;259500;263500;258500;177.50K;1.35%
108;Feb 26, 2019;259500;260000;261000;258500;104.59K;-0.19%
109;Feb 25, 2019;260000;263500;264500;259000;191.26K;-0.38%
110;Feb 22, 2019;261000;259500;261000;258000;124.65K;0.77%
111;Feb 21, 2019;259000;259500;261500;258000;131.62K;-0.38%
112;Feb 20, 2019;260000;259000;261500;258000;136.54K;0.00%
113;Feb 19, 2019;260000;260500;262000;259000;134.47K;0.19%
114;Feb 18, 2019;259500;256000;260000;255500;195.42K;1.76%
115;Feb 15, 2019;255000;258000;259500;253000;346.29K;-1.92%
116;Feb 14, 2019;260000;259000;260000;256500;239.06K;0.19%
117;Feb 13, 2019;259500;260500;260500;258000;143.23K;0.00%
118;Feb 12, 2019;259500;261500;264500;259500;219.80K;-0.57%
119;Feb 11, 2019;261000;262000;262500;260000;167.69K;0.00%
120;Feb 08, 2019;261000;258500;262500;258000;237.41K;0.58%
121;Feb 07, 2019;259500;260500;261000;258000;186.20K;-0.19%
122;Feb 01, 2019;260000;258500;262000;258000;261.70K;0.78%
123;Jan 31, 2019;258000;259000;259500;256000;234.48K;-0.19%
124;Jan 30, 2019;258500;269000;269000;257500;450.85K;-3.36%
125;Jan 29, 2019;267500;272000;275000;267500;150.71K;-1.83%
126;Jan 28, 2019;272500;267500;274500;266500;151.79K;1.30%
127;Jan 25, 2019;269000;268500;271500;268500;135.82K;-0.74%
128;Jan 24, 2019;271000;268000;271500;266500;139.06K;0.74%
129;Jan 23, 2019;269000;264000;270500;263500;169.70K;1.89%
130;Jan 22, 2019;264000;263500;265000;261000;109.24K;0.19%
131;Jan 21, 2019;263500;269500;270000;261000;185.15K;-2.23%
132;Jan 18, 2019;269500;270000;271000;267000;71.70K;0.37%
133;Jan 17, 2019;268500;265500;270000;264500;112.86K;0.37%
134;Jan 16, 2019;267500;267000;268500;265500;93.12K;-0.37%
135;Jan 15, 2019;268500;267500;270000;265500;104.02K;0.56%
136;Jan 14, 2019;267000;264500;268000;264000;132.74K;1.33%
137;Jan 11, 2019;263500;269000;269000;263500;222.67K;-2.77%
138;Jan 10, 2019;271000;270000;271500;267000;182.37K;0.56%
139;Jan 09, 2019;269500;275500;277000;268000;253.18K;-2.36%
140;Jan 08, 2019;276000;279000;279000;272000;101.02K;-0.18%
141;Jan 07, 2019;276500;281000;281000;276500;120.06K;-1.07%
142;Jan 04, 2019;279500;278000;281500;274500;224.12K;1.45%
143;Jan 03, 2019;275500;273000;281000;269500;290.47K;1.10%
144;Jan 02, 2019;272500;267500;273500;267500;129.63K;1.11%
145;Dec 28, 2018;269500;265500;273000;262500;163.06K;1.32%
146;Dec 27, 2018;266000;262000;268500;258000;143.94K;-1.12%
147;Dec 26, 2018;269000;273500;275000;266500;176.54K;-2.54%
148;Dec 24, 2018;276000;276000;279000;272500;140.36K;0.00%
