;Date;Price;Open;High;Low;Vol.;Change %
0;Jul 31, 2019;128500;126500;129000;126500;284.85K;0.39%
1;Jul 30, 2019;128000;129000;129000;126500;0.01K;0.00%
2;Jul 29, 2019;128000;130000;131000;126500;464.01K;-1.92%
3;Jul 28, 2019;130500;130500;130500;130500;-;0.00%
4;Jul 26, 2019;130500;130500;132500;130000;393.68K;-0.76%
5;Jul 25, 2019;131500;131500;133500;130000;613.07K;-0.75%
6;Jul 24, 2019;132500;131500;133500;131500;418.40K;0.38%
7;Jul 23, 2019;132000;133500;133500;128500;1.13M;-0.75%
8;Jul 22, 2019;133000;134000;135500;132000;606.14K;-1.12%
9;Jul 19, 2019;134500;135500;135500;132000;363.11K;0.37%
10;Jul 18, 2019;134000;133000;134500;132500;345.39K;0.37%
11;Jul 17, 2019;133500;133000;134500;132000;375.47K;0.38%
12;Jul 16, 2019;133000;139000;139000;132000;902.01K;-3.62%
13;Jul 15, 2019;138000;139500;140000;137000;279.65K;-1.08%
14;Jul 12, 2019;139500;138500;142000;138000;549.23K;0.36%
15;Jul 11, 2019;139000;136500;140500;135000;1.07M;1.46%
16;Jul 10, 2019;137000;139000;140000;135500;566.98K;-0.36%
17;Jul 09, 2019;137500;139500;141500;137000;435.20K;-0.72%
18;Jul 08, 2019;138500;140500;142000;138000;338.35K;-2.12%
19;Jul 05, 2019;141500;139000;142000;138500;338.12K;1.80%
20;Jul 04, 2019;139000;135500;139500;135000;305.63K;2.21%
21;Jul 03, 2019;136000;136000;138000;134000;582.35K;-0.73%
22;Jul 02, 2019;137000;139500;140000;136500;444.55K;-2.84%
23;Jul 01, 2019;141000;141500;142500;139500;328.31K;0.71%
24;Jun 30, 2019;140000;140000;140000;140000;-;0.00%
25;Jun 28, 2019;140000;140000;141000;139000;273.93K;-0.36%
26;Jun 27, 2019;140500;141000;142500;139500;343.05K;-0.71%
27;Jun 26, 2019;141500;141000;142000;140000;239.18K;0.00%
28;Jun 25, 2019;141500;142500;142500;140500;294.73K;-0.70%
29;Jun 24, 2019;142500;142000;143500;141500;287.87K;1.42%
30;Jun 21, 2019;140500;140000;141000;139500;291.57K;0.00%
31;Jun 20, 2019;140500;139500;141000;139000;259.55K;0.36%
32;Jun 19, 2019;140000;140500;141000;139000;301.58K;-0.71%
33;Jun 18, 2019;141000;140500;141500;139500;222.60K;0.71%
34;Jun 17, 2019;140000;140000;141500;139500;228.45K;-0.36%
35;Jun 14, 2019;140500;140000;142500;139500;339.75K;-0.35%
36;Jun 13, 2019;141000;140500;141500;137500;906.13K;0.00%
37;Jun 12, 2019;141000;143500;143500;139500;535.71K;-1.74%
38;Jun 11, 2019;143500;142500;143500;140500;361.91K;0.35%
39;Jun 10, 2019;143000;142000;143000;140000;463.61K;2.14%
40;Jun 07, 2019;140000;141500;142000;139500;460.45K;-0.71%
41;Jun 05, 2019;141000;139500;142000;139000;606.07K;1.44%
42;Jun 04, 2019;139000;137000;140500;137000;570.72K;0.36%
43;Jun 03, 2019;138500;134000;138500;132500;650.22K;2.97%
44;May 31, 2019;134500;134500;135000;131000;924.60K;-0.74%
45;May 30, 2019;135500;132500;136500;132500;495.62K;1.12%
46;May 29, 2019;134000;135000;135500;131500;635.20K;-1.83%
47;May 28, 2019;136500;135000;136500;133000;1.21M;1.11%
48;May 27, 2019;135000;130000;135500;130000;716.35K;3.45%
49;May 24, 2019;130500;127000;130500;126000;479.71K;2.35%
50;May 23, 2019;127500;129000;129500;126500;621.31K;0.39%
51;May 22, 2019;127000;127000;129000;126000;368.70K;0.00%
52;May 21, 2019;127000;129000;129500;125000;733.38K;-1.55%
53;May 20, 2019;129000;125500;129500;125500;709.35K;2.79%
54;May 17, 2019;125500;127000;128500;125000;297.56K;-1.57%
55;May 16, 2019;127500;133000;135000;127000;1.00M;-0.39%
56;May 15, 2019;128000;127500;130000;125500;457.25K;0.00%
57;May 14, 2019;128000;128500;129500;127000;442.31K;-0.78%
58;May 13, 2019;129000;128000;131000;128000;383.80K;-0.77%
59;May 10, 2019;130000;131500;134000;128000;544.25K;-0.76%
60;May 09, 2019;131000;135000;135500;131000;803.91K;-3.32%
61;May 08, 2019;135500;134500;136000;134000;424.05K;-0.37%
62;May 07, 2019;136000;134500;137000;134000;544.67K;-1.09%
63;May 03, 2019;137500;137500;138500;136500;430.75K;-0.72%
64;May 02, 2019;138500;138000;140500;137000;429.66K;0.00%
65;Apr 30, 2019;138500;139500;140500;138000;575.89K;-0.36%
66;Apr 29, 2019;139000;136500;139500;136500;587.56K;2.58%
67;Apr 26, 2019;135500;138000;138500;134500;538.44K;-1.81%
68;Apr 25, 2019;138000;138500;139000;136500;550.76K;-0.36%
69;Apr 24, 2019;138500;139000;140000;136000;1.33M;1.84%
70;Apr 23, 2019;136000;134000;137000;133000;480.16K;1.49%
71;Apr 22, 2019;134000;133000;134500;132000;231.07K;0.00%
72;Apr 19, 2019;134000;135000;135500;133000;335.42K;0.00%
73;Apr 18, 2019;134000;133500;137000;132500;1.46M;2.29%
74;Apr 17, 2019;131000;128500;131000;127500;535.57K;1.95%
75;Apr 16, 2019;128500;126500;130500;125500;733.53K;2.39%
76;Apr 15, 2019;125500;126000;127000;125000;222.55K;-0.79%
77;Apr 12, 2019;126500;127000;128000;125500;286.48K;-1.17%
78;Apr 11, 2019;128000;127500;128000;125500;548.77K;0.39%
79;Apr 10, 2019;127500;126500;128500;126500;349.26K;0.39%
80;Apr 09, 2019;127000;125500;128000;125500;274.93K;-0.78%
81;Apr 08, 2019;128000;126500;128500;125500;455.08K;1.59%
82;Apr 05, 2019;126000;124500;126500;124000;468.52K;2.02%
83;Apr 04, 2019;123500;123000;125000;122500;464.56K;-0.40%
84;Apr 03, 2019;124000;118500;124000;118000;651.23K;4.20%
85;Apr 02, 2019;119000;119500;120000;117500;374.13K;-1.24%
86;Apr 01, 2019;120500;120000;121000;119000;264.65K;0.84%
87;Mar 29, 2019;119500;120000;122000;119000;432.84K;0.00%
88;Mar 28, 2019;119500;118500;120000;118000;303.40K;0.84%
89;Mar 27, 2019;118500;118500;119500;118000;236.18K;0.00%
90;Mar 26, 2019;118500;120000;121000;118500;462.91K;-1.25%
91;Mar 25, 2019;120000;121000;122000;119000;414.10K;-2.83%
92;Mar 22, 2019;123500;124000;125500;121500;485.68K;-0.80%
93;Mar 21, 2019;124500;124000;126000;122500;321.36K;0.40%
94;Mar 20, 2019;124000;123000;124000;121000;316.07K;0.00%
95;Mar 19, 2019;124000;124000;125000;123000;303.88K;0.00%
96;Mar 18, 2019;124000;122000;124000;121500;383.26K;2.48%
97;Mar 15, 2019;121000;119000;122000;118000;739.47K;1.68%
98;Mar 14, 2019;119000;124000;124000;117000;1.32M;-2.86%
99;Mar 13, 2019;122500;126000;126000;120500;797.48K;-2.39%
100;Mar 12, 2019;125500;121500;125500;121500;616.23K;3.72%
101;Mar 11, 2019;121000;121000;121500;119000;281.39K;0.83%
102;Mar 08, 2019;120000;125000;125000;120000;467.05K;-4.38%
103;Mar 07, 2019;125500;126500;129000;123000;791.37K;0.80%
104;Mar 06, 2019;124500;122500;126500;121500;599.12K;2.47%
105;Mar 05, 2019;121500;121500;122000;119500;428.58K;-0.41%
106;Mar 04, 2019;122000;125000;126000;121000;916.71K;-3.56%
107;Feb 28, 2019;126500;127500;129000;126000;945.59K;-1.94%
108;Feb 27, 2019;129000;128000;130000;126000;1.23M;5.31%
109;Feb 26, 2019;122500;121500;124000;121500;777.50K;1.24%
110;Feb 25, 2019;121000;120500;122500;120000;313.82K;0.00%
111;Feb 22, 2019;121000;119500;121500;119500;353.42K;0.83%
112;Feb 21, 2019;120000;118500;121000;118500;588.44K;0.84%
113;Feb 20, 2019;119000;119500;121500;119000;734.34K;-0.42%
114;Feb 19, 2019;119500;119500;120500;119000;469.06K;-0.83%
115;Feb 18, 2019;120500;121000;122000;118500;556.50K;-0.41%
116;Feb 15, 2019;121000;121000;121500;120000;445.95K;-0.41%
117;Feb 14, 2019;121500;123500;124000;119500;1.07M;-2.41%
118;Feb 13, 2019;124500;128500;128500;124000;619.40K;-3.11%
119;Feb 12, 2019;128500;129000;129000;126500;442.74K;0.78%
120;Feb 11, 2019;127500;126000;129000;126000;425.73K;1.59%
121;Feb 08, 2019;125500;125500;126500;124500;364.68K;-0.40%
122;Feb 07, 2019;126000;128500;129000;125500;528.10K;-2.70%
123;Feb 01, 2019;129500;129500;130000;128500;391.59K;0.00%
124;Jan 31, 2019;129500;130000;131000;128500;509.45K;0.00%
125;Jan 30, 2019;129500;128500;129500;126500;404.00K;1.17%
126;Jan 29, 2019;128000;126500;128500;126000;445.08K;1.19%
127;Jan 28, 2019;126500;128500;130000;125500;540.81K;-1.56%
128;Jan 25, 2019;128500;127500;130000;127500;534.89K;-1.15%
129;Jan 24, 2019;130000;128000;130000;124500;778.53K;0.78%
130;Jan 23, 2019;129000;128000;130000;127000;389.13K;1.18%
131;Jan 22, 2019;127500;126500;128000;125000;446.01K;0.39%
132;Jan 21, 2019;127000;132000;132000;126500;656.97K;-3.05%
133;Jan 18, 2019;131000;129500;131500;129500;533.89K;1.16%
134;Jan 17, 2019;129500;128500;130000;127500;513.40K;0.78%
135;Jan 16, 2019;128500;127000;129000;126000;395.53K;0.78%
136;Jan 15, 2019;127500;121000;128000;120500;787.78K;4.94%
137;Jan 14, 2019;121500;122500;124000;121000;297.40K;-1.22%
138;Jan 11, 2019;123000;123000;124500;122000;341.20K;0.00%
139;Jan 10, 2019;123000;121500;123000;119500;648.70K;0.00%
140;Jan 09, 2019;123000;119000;124000;119000;645.94K;2.93%
141;Jan 08, 2019;119500;121500;123500;118500;481.76K;-0.83%
142;Jan 07, 2019;120500;121000;121500;119500;383.03K;0.84%
143;Jan 04, 2019;119500;116000;123000;116000;1.33M;2.58%
144;Jan 03, 2019;116500;113000;118500;113000;608.44K;2.19%
145;Jan 02, 2019;114000;117500;118000;113500;563.96K;-3.80%
