;Date;Price;Open;High;Low;Vol.;Change %
0;Jul 31, 2019;43450;42950;43600;42800;534.49K;0.23%
1;Jul 30, 2019;43350;43750;43750;43000;565.18K;-0.57%
2;Jul 29, 2019;43600;43950;44100;43400;613.70K;-0.46%
3;Jul 26, 2019;43800;43550;44100;43450;1.07M;-0.79%
4;Jul 25, 2019;44150;45400;45450;44150;1.04M;-2.97%
5;Jul 24, 2019;45500;46100;46150;45400;486.28K;-1.30%
6;Jul 23, 2019;46100;45900;46100;45300;718.70K;1.43%
7;Jul 22, 2019;45450;45300;45500;44700;477.97K;-0.11%
8;Jul 19, 2019;45500;45250;45700;45150;620.29K;1.11%
9;Jul 18, 2019;45000;44600;45200;44400;679.49K;0.22%
10;Jul 17, 2019;44900;44350;44900;44300;562.21K;0.45%
11;Jul 16, 2019;44700;44400;44700;44050;631.27K;1.36%
12;Jul 15, 2019;44100;43500;44400;43500;727.26K;0.57%
13;Jul 12, 2019;43850;43950;43950;43400;598.51K;1.15%
14;Jul 11, 2019;43350;43000;43700;42950;1.16M;0.00%
15;Jul 10, 2019;43350;43500;43850;43150;608.16K;0.00%
16;Jul 09, 2019;43350;43950;44150;43300;743.93K;-0.57%
17;Jul 08, 2019;43600;44400;44450;43600;840.17K;-1.69%
18;Jul 05, 2019;44350;45250;45300;44300;1.33M;-2.21%
19;Jul 04, 2019;45350;45200;45450;44750;467.55K;0.67%
20;Jul 03, 2019;45050;45950;46100;44950;856.41K;-2.17%
21;Jul 02, 2019;46050;46250;46500;46000;735.63K;-1.39%
22;Jul 01, 2019;46700;46400;46900;46300;970.93K;1.85%
23;Jun 28, 2019;45850;46000;46100;45750;756.13K;0.22%
24;Jun 27, 2019;45750;45050;45900;44900;877.13K;0.77%
25;Jun 26, 2019;45400;44950;45400;44500;625.34K;1.00%
26;Jun 25, 2019;44950;45000;45400;44650;501.46K;-0.22%
27;Jun 24, 2019;45050;44900;45350;44550;695.00K;-0.66%
28;Jun 21, 2019;45350;45000;45750;45000;986.15K;-0.33%
29;Jun 20, 2019;45500;45600;46000;45350;867.29K;-0.55%
30;Jun 19, 2019;45750;45200;45800;45100;818.73K;2.35%
31;Jun 18, 2019;44700;44300;44900;44300;696.07K;0.90%
32;Jun 17, 2019;44300;44500;44550;43950;630.66K;0.00%
33;Jun 14, 2019;44300;44500;44500;43900;714.81K;0.00%
34;Jun 13, 2019;44300;44700;44950;43950;1.46M;-1.23%
35;Jun 12, 2019;44850;44400;45000;44400;1.17M;0.90%
36;Jun 11, 2019;44450;44200;44600;44100;1.34M;-1.00%
37;Jun 10, 2019;44900;44850;45150;44650;991.55K;1.35%
38;Jun 07, 2019;44300;45300;45300;43700;999.06K;-0.34%
39;Jun 05, 2019;44450;44900;45200;44300;879.46K;-1.98%
40;Jun 04, 2019;45350;44950;45550;44500;1.12M;1.80%
41;Jun 03, 2019;44550;44000;44700;43550;857.61K;1.71%
42;May 31, 2019;43800;44150;44400;43700;969.07K;-1.90%
43;May 30, 2019;44650;44550;44950;44150;681.79K;-1.11%
44;May 29, 2019;45150;46000;46000;44200;1.16M;-1.42%
45;May 28, 2019;45800;45700;46000;45600;1.87M;0.11%
46;May 27, 2019;45750;45900;46200;45600;642.55K;-0.97%
47;May 24, 2019;46200;45650;46550;45650;1.01M;0.11%
48;May 23, 2019;46150;45850;46400;45750;547.45K;-0.11%
49;May 22, 2019;46200;46350;46600;45650;891.23K;-0.43%
50;May 21, 2019;46400;46050;46700;46000;702.24K;0.11%
51;May 20, 2019;46350;45800;46750;45800;741.59K;1.42%
52;May 17, 2019;45700;46100;46750;45700;694.87K;-0.87%
53;May 16, 2019;46100;45600;46400;45600;1.14M;0.00%
54;May 15, 2019;46100;45800;46600;45600;942.99K;-0.11%
55;May 14, 2019;46150;46150;46350;45800;1.19M;-0.11%
56;May 13, 2019;46200;46350;46650;45700;822.02K;-0.32%
57;May 10, 2019;46350;46700;46950;46050;894.75K;0.54%
58;May 09, 2019;46100;46350;47100;46100;1.71M;-1.50%
59;May 08, 2019;46800;46600;47000;46300;1.07M;0.43%
60;May 07, 2019;46600;46250;46700;45900;1.20M;0.00%
61;May 03, 2019;46600;46600;46950;46400;711.31K;-0.21%
62;May 02, 2019;46700;47250;47300;46200;1.10M;1.08%
63;Apr 30, 2019;46200;46600;47150;45850;1.15M;-0.54%
64;Apr 29, 2019;46450;45150;46450;44950;940.01K;2.31%
65;Apr 26, 2019;45400;45650;45700;45100;1.04M;-0.77%
66;Apr 25, 2019;45750;46000;46000;45000;1.30M;0.88%
67;Apr 24, 2019;45350;46300;46350;45300;1.27M;-1.20%
68;Apr 23, 2019;45900;45550;45900;45150;803.00K;1.55%
69;Apr 22, 2019;45200;45300;45800;45000;812.46K;-0.33%
70;Apr 19, 2019;45350;45850;46050;45300;464.19K;-0.87%
71;Apr 18, 2019;45750;46650;46650;45450;1.35M;-0.87%
72;Apr 17, 2019;46150;46250;46400;45850;991.77K;-0.32%
73;Apr 16, 2019;46300;45750;46350;45600;1.65M;1.31%
74;Apr 15, 2019;45700;45400;45850;45350;1.07M;0.55%
75;Apr 12, 2019;45450;45300;45600;44850;1.10M;0.55%
76;Apr 11, 2019;45200;45300;45350;44850;1.42M;0.00%
77;Apr 10, 2019;45200;44250;45200;43900;1.38M;0.89%
78;Apr 09, 2019;44800;44700;45150;44450;991.37K;-0.44%
79;Apr 08, 2019;45000;45400;45700;44950;851.17K;-0.66%
80;Apr 05, 2019;45300;45550;45550;44900;678.30K;-0.22%
81;Apr 04, 2019;45400;45300;45650;45250;898.32K;0.33%
82;Apr 03, 2019;45250;44400;45300;44200;1.39M;0.56%
83;Apr 02, 2019;45000;44500;45200;44400;2.68M;2.27%
84;Apr 01, 2019;44000;42600;44250;42500;2.41M;5.14%
85;Mar 29, 2019;41850;41200;41900;41000;1.73M;2.70%
86;Mar 28, 2019;40750;41500;41700;40650;1.25M;-1.69%
87;Mar 27, 2019;41450;41550;41900;41450;813.98K;0.12%
88;Mar 26, 2019;41400;41500;41950;41400;1.34M;-0.36%
89;Mar 25, 2019;41550;41900;42000;41550;1.08M;-2.24%
90;Mar 22, 2019;42500;42700;43050;42500;1.36M;-1.16%
91;Mar 21, 2019;43000;43000;43600;42850;1.82M;-1.15%
92;Mar 20, 2019;43500;43550;43700;43300;911.05K;-0.80%
93;Mar 19, 2019;43850;43900;44050;43350;807.12K;-0.57%
94;Mar 18, 2019;44100;44000;44450;43950;901.69K;0.34%
95;Mar 15, 2019;43950;43000;44100;42950;3.32M;3.05%
96;Mar 14, 2019;42650;42500;43100;42350;2.72M;1.07%
97;Mar 13, 2019;42200;42750;42950;41800;1.31M;-1.75%
98;Mar 12, 2019;42950;42600;43300;42400;992.43K;0.59%
99;Mar 11, 2019;42700;42300;43000;42050;1.03M;1.30%
100;Mar 08, 2019;42150;42750;42750;42100;1.54M;-2.20%
101;Mar 07, 2019;43100;43000;43400;42850;1.06M;0.23%
102;Mar 06, 2019;43000;43100;43400;42600;1.44M;-0.35%
103;Mar 05, 2019;43150;43150;43600;42900;1.97M;0.23%
104;Mar 04, 2019;43050;44700;44700;43000;3.15M;-2.93%
105;Feb 28, 2019;44350;44650;44950;44350;2.24M;-0.67%
106;Feb 27, 2019;44650;45000;45200;44600;1.85M;-1.22%
107;Feb 26, 2019;45200;45700;45850;45200;1.25M;-1.53%
108;Feb 25, 2019;45900;45300;45950;45300;1.12M;0.55%
109;Feb 22, 2019;45650;45250;45700;45050;1.22M;0.22%
110;Feb 21, 2019;45550;45600;46000;45550;1.30M;-0.65%
111;Feb 20, 2019;45850;45650;46000;45400;2.03M;-0.43%
112;Feb 19, 2019;46050;46100;46300;45600;948.68K;-0.11%
