;Date;Price;Open;High;Low;Vol.;Change %
0;Jul 31, 2019;28000;27350;28000;27250;875.22K;1.45%
1;Jul 30, 2019;27600;27800;27950;27400;0.15K;-1.25%
2;Jul 29, 2019;27950;27600;27950;27300;1.84M;1.27%
3;Jul 26, 2019;27600;27100;27950;27100;2.04M;1.10%
4;Jul 25, 2019;27300;26750;27450;26600;1.70M;2.25%
5;Jul 24, 2019;26700;27400;27450;26700;1.81M;-2.02%
6;Jul 23, 2019;27250;26100;27500;26000;3.45M;4.81%
7;Jul 22, 2019;26000;25950;26050;25750;736.14K;0.58%
8;Jul 19, 2019;25850;25600;25900;25500;1.01M;1.37%
9;Jul 18, 2019;25500;25350;25600;25350;827.90K;0.20%
10;Jul 17, 2019;25450;25500;25650;25400;730.10K;-0.39%
11;Jul 16, 2019;25550;25450;25650;25450;506.78K;0.39%
12;Jul 15, 2019;25450;25450;25600;25350;485.90K;0.00%
13;Jul 14, 2019;25450;25450;25450;25450;-;0.00%
14;Jul 12, 2019;25450;25350;25650;25300;725.52K;0.59%
15;Jul 11, 2019;25300;25300;25500;25250;1.28M;0.20%
16;Jul 10, 2019;25250;25400;25600;25250;799.69K;-0.98%
17;Jul 09, 2019;25500;25800;25850;25400;941.01K;-1.73%
18;Jul 08, 2019;25950;26000;26300;25750;1.26M;-0.19%
19;Jul 05, 2019;26000;25800;26150;25650;826.29K;1.17%
20;Jul 04, 2019;25700;25900;25900;25500;837.27K;-0.77%
21;Jul 03, 2019;25900;25300;26000;25200;1.41M;2.57%
22;Jul 02, 2019;25250;25400;25400;25050;1.09M;-0.39%
23;Jul 01, 2019;25350;25600;25700;25300;1.15M;-0.78%
24;Jun 30, 2019;25550;25550;25550;25550;-;0.00%
25;Jun 28, 2019;25550;25600;25850;25550;630.37K;-0.39%
26;Jun 27, 2019;25650;25700;25900;25600;873.81K;-0.58%
27;Jun 26, 2019;25800;25550;25950;25400;706.25K;0.39%
28;Jun 25, 2019;25700;26000;26150;25600;878.74K;-1.34%
29;Jun 24, 2019;26050;26350;26400;25900;808.23K;-0.57%
30;Jun 23, 2019;26200;26200;26200;26200;-;0.00%
31;Jun 21, 2019;26200;25850;26200;25700;1.51M;1.35%
32;Jun 20, 2019;25850;25900;26100;25700;882.88K;0.98%
33;Jun 19, 2019;25600;25750;26100;25550;1.27M;0.79%
34;Jun 18, 2019;25400;25400;25500;25250;614.10K;0.20%
35;Jun 17, 2019;25350;25550;25600;25100;1.15M;-0.59%
36;Jun 16, 2019;25500;25500;25500;25500;-;0.00%
37;Jun 14, 2019;25500;26000;26050;25500;1.59M;-2.30%
38;Jun 13, 2019;26100;26450;26650;26000;1.68M;-0.76%
39;Jun 12, 2019;26300;26250;26350;25850;1.17M;0.38%
40;Jun 11, 2019;26200;25250;26350;25200;1.81M;3.35%
41;Jun 10, 2019;25350;25700;25850;25150;1.51M;-1.36%
42;Jun 07, 2019;25700;25750;25900;25350;875.66K;0.00%
43;Jun 05, 2019;25700;26050;26250;25550;1.32M;-1.15%
44;Jun 04, 2019;26000;26600;26600;26000;1.59M;-2.44%
45;Jun 03, 2019;26650;26350;27000;26150;2.75M;2.50%
46;May 31, 2019;26000;25150;26450;25100;3.10M;4.21%
47;May 30, 2019;24950;24700;25050;24600;815.04K;1.01%
48;May 29, 2019;24700;25050;25200;24500;1.43M;-1.59%
49;May 28, 2019;25100;25050;25250;24850;1.45M;0.40%
50;May 27, 2019;25000;25600;25600;24950;1.06M;-1.96%
51;May 24, 2019;25500;25450;25950;25400;1.74M;1.19%
52;May 23, 2019;25200;25100;25500;24800;1.09M;0.40%
53;May 22, 2019;25100;25100;25650;25050;1.11M;0.20%
54;May 21, 2019;25050;25200;25350;25000;1.28M;-1.38%
55;May 20, 2019;25400;25450;25650;25050;1.17M;-0.20%
56;May 17, 2019;25450;25900;25950;25400;1.47M;-1.17%
57;May 16, 2019;25750;26150;26200;25700;1.77M;-2.09%
58;May 15, 2019;26300;26300;26600;25900;2.65M;-2.05%
59;May 14, 2019;26850;26950;27000;26600;1.36M;-1.10%
60;May 13, 2019;27150;27000;27350;26800;1.15M;-0.55%
61;May 10, 2019;27300;27050;27550;27000;1.11M;0.92%
62;May 09, 2019;27050;27550;27600;27050;1.90M;-2.52%
63;May 08, 2019;27750;27700;27850;27500;889.84K;-0.72%
64;May 07, 2019;27950;27600;28000;27500;910.22K;0.54%
65;May 03, 2019;27800;28350;28350;27700;1.57M;-0.89%
66;May 02, 2019;28050;28200;28400;27900;1.19M;-0.88%
67;Apr 30, 2019;28300;28700;28750;28150;1.05M;-1.39%
68;Apr 29, 2019;28700;28200;28750;27900;1.41M;2.87%
69;Apr 26, 2019;27900;27900;28850;27850;2.00M;0.18%
70;Apr 25, 2019;27850;28150;28300;27700;1.00M;-1.07%
71;Apr 24, 2019;28150;28700;28700;28000;1.65M;-1.92%
72;Apr 23, 2019;28700;28900;28900;28550;966.14K;-0.69%
73;Apr 22, 2019;28900;28950;29100;28800;742.39K;0.17%
74;Apr 19, 2019;28850;28900;29050;28650;900.94K;0.00%
75;Apr 18, 2019;28850;28900;29200;28700;1.23M;-0.17%
76;Apr 17, 2019;28900;29450;29450;28750;1.34M;-1.37%
77;Apr 16, 2019;29300;29100;29400;29000;903.24K;0.51%
78;Apr 15, 2019;29150;29150;29250;29000;899.61K;0.17%
79;Apr 12, 2019;29100;29350;29450;28950;1.13M;-0.34%
80;Apr 11, 2019;29200;29650;29650;29100;1.51M;-1.52%
81;Apr 10, 2019;29650;28800;29650;28250;2.17M;3.13%
82;Apr 09, 2019;28750;29150;29450;28750;1.32M;-2.21%
83;Apr 08, 2019;29400;28750;29400;28300;2.79M;0.68%
84;Apr 05, 2019;29200;29900;30150;29100;3.37M;-3.15%
85;Apr 04, 2019;30150;30300;30350;29850;1.17M;-0.50%
86;Apr 03, 2019;30300;30100;30350;30000;1.26M;0.17%
87;Apr 02, 2019;30250;30300;30600;29900;1.08M;-0.33%
88;Apr 01, 2019;30350;29750;30400;29550;1.76M;1.51%
89;Mar 29, 2019;29900;30000;30300;29750;2.49M;-2.45%
90;Mar 28, 2019;30650;31050;31300;30500;1.22M;-2.23%
91;Mar 27, 2019;31350;31550;31650;31100;717.87K;-0.63%
92;Mar 26, 2019;31550;31550;32000;31550;644.22K;-0.32%
93;Mar 25, 2019;31650;32050;32200;31500;1.06M;-0.94%
94;Mar 22, 2019;31950;31900;32250;31700;1.10M;0.16%
95;Mar 21, 2019;31900;32200;32400;31750;1.79M;-1.54%
96;Mar 20, 2019;32400;33300;33450;32050;2.23M;-3.14%
97;Mar 19, 2019;33450;34150;34500;33300;1.58M;-2.90%
98;Mar 18, 2019;34450;35050;35150;34300;949.78K;-2.68%
99;Mar 15, 2019;35400;35200;35600;35100;1.07M;-0.14%
100;Mar 14, 2019;35450;35100;35500;34900;1.14M;1.00%
101;Mar 13, 2019;35100;35000;35150;34600;832.77K;-1.13%
102;Mar 12, 2019;35500;35350;35500;35200;817.96K;1.43%
103;Mar 11, 2019;35000;34650;35200;34350;710.19K;1.01%
104;Mar 08, 2019;34650;34700;35050;34550;659.35K;0.00%
105;Mar 07, 2019;34650;35400;35600;34500;885.15K;-1.70%
106;Mar 06, 2019;35250;35700;36000;35100;763.51K;-1.12%
107;Mar 05, 2019;35650;35800;35900;35300;684.01K;-0.42%
108;Mar 04, 2019;35800;34700;36000;34700;2.02M;2.73%
109;Feb 28, 2019;34850;34800;35600;34500;1.87M;-0.29%
110;Feb 27, 2019;34950;34750;35150;34550;1.04M;0.43%
111;Feb 26, 2019;34800;34350;35000;34250;1.44M;2.35%
112;Feb 25, 2019;34000;34300;34350;33800;932.66K;-1.02%
113;Feb 22, 2019;34350;33250;34600;33100;2.30M;3.15%
114;Feb 21, 2019;33300;33200;33450;33000;764.99K;-0.30%
115;Feb 20, 2019;33400;33100;33650;33100;1.05M;1.21%
116;Feb 19, 2019;33000;33050;33400;32900;615.87K;-0.15%
117;Feb 18, 2019;33050;33500;33700;32850;1.15M;-1.34%
118;Feb 15, 2019;33500;33850;34200;33250;940.42K;-0.89%
119;Feb 14, 2019;33800;33600;33950;32900;1.67M;-0.59%
120;Feb 13, 2019;34000;33750;34250;33550;1.07M;-0.15%
121;Feb 12, 2019;34050;34350;34400;33700;1.00M;-0.87%
122;Feb 11, 2019;34350;33950;34650;33550;1.39M;2.08%
123;Feb 08, 2019;33650;33650;34000;33100;1.23M;0.45%
124;Feb 07, 2019;33500;34400;34400;33250;1.05M;-1.18%
125;Feb 01, 2019;33900;34400;34450;33700;1.09M;-1.74%
126;Jan 31, 2019;34500;33500;34800;33400;2.34M;3.92%
127;Jan 30, 2019;33200;33100;33250;32300;1.34M;0.76%
128;Jan 29, 2019;32950;32900;33200;32750;1.35M;0.46%
129;Jan 28, 2019;32800;32800;32950;32500;1.03M;-0.76%
130;Jan 25, 2019;33050;32500;33250;32450;1.18M;0.76%
131;Jan 24, 2019;32800;32600;32900;32400;1.23M;-0.15%
132;Jan 23, 2019;32850;33050;33100;32600;1.33M;0.61%
133;Jan 22, 2019;32650;32600;32750;32300;971.26K;0.31%
134;Jan 21, 2019;32550;33450;33750;32300;2.70M;-3.84%
135;Jan 18, 2019;33850;34450;34550;33350;1.72M;-1.88%
136;Jan 17, 2019;34500;34300;34700;34200;952.48K;0.29%
137;Jan 16, 2019;34400;34500;34800;34150;1.20M;-1.15%
138;Jan 15, 2019;34800;34450;35000;34400;1.25M;0.29%
139;Jan 14, 2019;34700;34650;34900;34250;1.08M;0.00%
140;Jan 11, 2019;34700;34250;34700;34000;1.25M;0.73%
141;Jan 10, 2019;34450;33100;34450;33100;2.08M;2.68%
142;Jan 09, 2019;33550;35450;35450;33500;2.79M;-5.36%
143;Jan 08, 2019;35450;34400;35600;34300;2.13M;3.96%
144;Jan 07, 2019;34100;34300;34300;33300;2.18M;-0.58%
145;Jan 04, 2019;34300;35000;35400;34000;2.39M;-1.44%
146;Jan 03, 2019;34800;34250;35150;34200;2.17M;2.20%
147;Jan 02, 2019;34050;33150;34300;33150;1.50M;2.87%
148;Dec 28, 2018;33100;32350;33800;32350;1.23M;1.85%
149;Dec 27, 2018;32500;32150;32950;31100;1.43M;-0.76%
150;Dec 26, 2018;32750;32950;33500;32600;1.05M;-1.06%
151;Dec 24, 2018;33100;33450;33600;32800;940.82K;-1.05%
152;Dec 21, 2018;33450;34350;34350;33150;1.72M;-2.62%
153;Dec 20, 2018;34350;34200;34500;33500;1.57M;0.59%
154;Dec 19, 2018;34150;33400;34250;33400;1.76M;2.55%
155;Dec 18, 2018;33300;33300;33700;33100;1.55M;1.06%
156;Dec 17, 2018;32950;32800;33200;32300;1.45M;1.07%
157;Dec 14, 2018;32600;32000;32800;31750;1.44M;1.56%
158;Dec 13, 2018;32100;32150;32850;32050;2.26M;0.31%
159;Dec 12, 2018;32000;32800;32800;31750;1.98M;-1.84%
160;Dec 11, 2018;32600;32150;32900;32050;2.24M;1.56%
161;Dec 10, 2018;32100;31300;32350;31150;2.80M;2.72%
162;Dec 07, 2018;31250;30800;31450;30550;1.91M;1.63%
163;Dec 06, 2018;30750;30900;30950;30350;1.19M;0.16%
164;Dec 05, 2018;30700;30300;30850;30100;1.46M;0.33%
165;Dec 04, 2018;30600;30000;30800;30000;1.87M;2.86%
166;Dec 03, 2018;29750;29850;30200;29650;1.49M;0.17%
167;Nov 30, 2018;29700;30200;30450;29450;2.26M;-2.30%
168;Nov 29, 2018;30400;30800;30850;30150;1.41M;-1.30%
169;Nov 28, 2018;30800;30050;30900;29750;2.03M;3.18%
170;Nov 27, 2018;29850;29200;30250;28900;2.39M;1.88%
171;Nov 26, 2018;29300;28050;29450;28000;2.25M;4.64%
172;Nov 25, 2018;28000;28000;28000;28000;-;1.45%
173;Nov 23, 2018;27600;28200;28250;27300;767.72K;-2.13%
174;Nov 22, 2018;28200;28550;28550;27750;668.85K;0.00%
175;Nov 21, 2018;28200;28200;28250;27700;981.07K;0.89%
176;Nov 20, 2018;27950;27450;27950;27350;1.14M;2.19%
177;Nov 19, 2018;27350;28000;28150;27250;1.07M;-2.50%
178;Nov 18, 2018;28050;27900;28050;27900;-;0.36%
179;Nov 16, 2018;27950;27950;28150;27600;1.01M;0.36%
180;Nov 15, 2018;27850;28700;29000;27850;1.32M;-2.62%
181;Nov 14, 2018;28600;28050;28950;27850;2.81M;4.57%
182;Nov 13, 2018;27350;27550;27600;27150;610.31K;-0.73%
183;Nov 12, 2018;27550;28200;28450;27250;1.04M;-2.48%
184;Nov 11, 2018;28250;28150;28300;28150;-;0.36%
185;Nov 09, 2018;28150;27450;28250;27350;1.36M;2.55%
186;Nov 08, 2018;27450;27300;27650;26900;1.42M;0.92%
187;Nov 07, 2018;27200;26700;27450;26550;1.32M;1.68%
188;Nov 06, 2018;26750;27000;27100;26500;920.60K;-1.29%
189;Nov 05, 2018;27100;26550;27100;26350;1.06M;1.88%
190;Nov 02, 2018;26600;26750;27050;26450;1.51M;-1.12%
191;Nov 01, 2018;26900;27150;27200;26450;1.09M;-0.74%
192;Oct 31, 2018;27100;26250;27100;26050;1.49M;3.24%
193;Oct 30, 2018;26250;26500;27450;26200;1.43M;-3.14%
194;Oct 29, 2018;27100;27950;28300;26500;1.53M;-0.73%
195;Oct 26, 2018;27300;28050;28400;27050;1.63M;-2.67%
196;Oct 25, 2018;28050;27150;28400;27000;3.29M;2.37%
197;Oct 24, 2018;27400;26600;27850;26450;2.84M;4.18%
198;Oct 23, 2018;26300;27500;27500;26100;1.51M;-4.54%
199;Oct 22, 2018;27550;27000;27750;26900;1.15M;2.04%
200;Oct 21, 2018;27000;27000;27000;27000;-;0.37%
201;Oct 19, 2018;26900;26150;27350;26050;2.81M;2.87%
202;Oct 18, 2018;26150;25550;26550;25150;1.69M;2.55%
203;Oct 17, 2018;25500;25200;25500;24900;682.54K;2.20%
204;Oct 16, 2018;24950;25200;25450;24650;1.07M;-0.40%
205;Oct 15, 2018;25050;24600;25550;24600;1.48M;1.21%
206;Oct 14, 2018;24750;24750;24750;24750;-;0.00%
207;Oct 12, 2018;24750;23950;24850;23950;1.96M;3.77%
208;Oct 11, 2018;23850;24500;24900;23850;3.16M;-5.73%
209;Oct 10, 2018;25300;26100;26150;25200;2.33M;-3.98%
210;Oct 09, 2018;26350;26350;26350;26350;-;0.00%
211;Oct 08, 2018;26350;27000;27300;26300;1.81M;-2.95%
212;Oct 07, 2018;27150;27150;27150;27150;-;0.00%
213;Oct 05, 2018;27150;27300;27900;26800;1.45M;-1.09%
214;Oct 04, 2018;27450;28700;28700;27250;2.18M;-3.85%
215;Oct 03, 2018;28550;28550;28550;28550;-;0.00%
216;Oct 02, 2018;28550;29200;29300;28550;1.21M;-2.73%
217;Oct 01, 2018;29350;29250;29550;29200;594.43K;0.00%
218;Sep 30, 2018;29350;29350;29350;29350;-;0.00%
219;Sep 28, 2018;29350;29050;29400;29050;1.04M;1.38%
220;Sep 27, 2018;28950;28700;29000;28650;1.28M;0.70%
221;Sep 26, 2018;28750;28750;28750;28750;-;0.00%
222;Sep 21, 2018;28750;28900;29000;28650;1.32M;0.17%
223;Sep 20, 2018;28700;28850;29100;28650;1.18M;-0.86%
224;Sep 19, 2018;28950;29500;29600;28750;1.75M;-1.86%
225;Sep 18, 2018;29500;29650;29750;29350;1.11M;-1.01%
