;Date;Price;Open;High;Low;Vol.;Change %
0;Jul 31, 2019;278500;279000;279500;270000;80.47K;0.72%
1;Jul 30, 2019;276500;272500;282000;272500;82.69K;1.28%
2;Jul 29, 2019;273000;273000;278000;271000;82.68K;-0.91%
3;Jul 28, 2019;275500;275500;275500;275500;-;0.00%
4;Jul 26, 2019;275500;267000;277000;266000;135.43K;1.85%
5;Jul 25, 2019;270500;280000;280500;270000;180.21K;-3.74%
6;Jul 24, 2019;281000;288500;288500;281000;211.06K;-2.77%
7;Jul 23, 2019;289000;290000;292000;288500;63.36K;-0.34%
8;Jul 22, 2019;290000;298000;298500;288500;128.37K;0.87%
9;Jul 21, 2019;287500;287500;287500;287500;-;0.00%
10;Jul 19, 2019;287500;285500;288500;284500;136.46K;0.52%
11;Jul 18, 2019;286000;286500;289500;284500;80.20K;-0.35%
12;Jul 17, 2019;287000;292500;293000;284500;175.28K;-2.88%
13;Jul 16, 2019;295500;295000;299000;294000;58.51K;-0.34%
14;Jul 15, 2019;296500;301000;302000;296500;52.67K;-1.66%
15;Jul 12, 2019;301500;301000;301500;297000;50.49K;0.00%
16;Jul 11, 2019;301500;299000;303000;298000;68.21K;0.67%
17;Jul 10, 2019;299500;304000;304000;296000;111.98K;-1.32%
18;Jul 09, 2019;303500;317500;319500;301500;98.20K;-4.11%
19;Jul 08, 2019;316500;314000;320000;309500;68.53K;0.80%
20;Jul 05, 2019;314000;312500;315500;312000;34.13K;0.16%
21;Jul 04, 2019;313500;318500;320000;310000;62.27K;-1.42%
22;Jul 03, 2019;318000;324000;327500;316500;66.23K;-1.85%
23;Jul 02, 2019;324000;320500;325000;318500;46.06K;0.93%
24;Jul 01, 2019;321000;320500;323000;319000;39.12K;0.31%
25;Jun 28, 2019;320000;317000;322000;315500;58.92K;1.59%
26;Jun 27, 2019;315000;313500;319000;312000;56.31K;0.48%
27;Jun 26, 2019;313500;312500;318000;312500;40.67K;0.16%
28;Jun 25, 2019;313000;320000;323000;312000;65.58K;-2.64%
29;Jun 24, 2019;321500;314500;322000;314500;61.35K;1.42%
30;Jun 21, 2019;317000;317500;318000;314500;57.41K;0.00%
31;Jun 20, 2019;317000;315500;317500;315000;46.47K;0.63%
32;Jun 19, 2019;315000;316000;318000;313000;51.23K;0.32%
33;Jun 18, 2019;314000;309500;316000;309500;68.65K;1.62%
34;Jun 17, 2019;309000;311500;314000;308000;36.86K;-1.28%
35;Jun 16, 2019;313000;313000;313000;313000;-;0.00%
36;Jun 14, 2019;313000;316500;316500;312000;67.71K;-1.11%
37;Jun 13, 2019;316500;307500;318500;307500;105.45K;2.76%
38;Jun 12, 2019;308000;307000;309500;305000;44.20K;0.33%
39;Jun 11, 2019;307000;306000;309500;305500;40.17K;0.49%
40;Jun 10, 2019;305500;311000;311500;304500;45.97K;0.00%
41;Jun 07, 2019;305500;312500;312500;303500;69.87K;-2.08%
42;Jun 05, 2019;312000;315000;315000;308500;87.65K;-0.79%
43;Jun 04, 2019;314500;305000;316000;304500;147.11K;4.66%
