;Date;Price;Open;High;Low;Vol.;Change %
0;Jul 31, 2019;77100;78300;79100;75300;3.02M;-2.28%
1;Jul 30, 2019;78900;77900;80000;77900;0.10K;2.47%
2;Jul 29, 2019;77000;79000;79400;76500;2.61M;-3.51%
3;Jul 28, 2019;79800;79800;79800;79800;-;0.00%
4;Jul 26, 2019;79800;78100;80300;78000;3.06M;0.76%
5;Jul 25, 2019;79200;79700;80400;77700;3.96M;2.06%
6;Jul 24, 2019;77600;78800;80200;77100;3.56M;-1.52%
7;Jul 23, 2019;78800;79700;80700;78200;4.80M;0.51%
8;Jul 22, 2019;78400;77800;79200;77000;3.21M;2.08%
9;Jul 21, 2019;76800;76800;76800;76800;-;0.00%
10;Jul 19, 2019;76800;75900;77000;75600;2.62M;2.81%
11;Jul 18, 2019;74700;74300;75200;73900;1.90M;0.13%
12;Jul 17, 2019;74600;74600;75200;74000;2.80M;-1.97%
13;Jul 16, 2019;76100;74800;76500;74800;2.40M;-0.13%
14;Jul 15, 2019;76200;74500;76500;74400;2.11M;2.01%
15;Jul 12, 2019;74700;75600;75800;74400;2.59M;-1.06%
16;Jul 11, 2019;75500;74000;75500;74000;5.10M;3.57%
17;Jul 10, 2019;72900;71500;73400;71000;4.34M;4.44%
18;Jul 09, 2019;69800;68400;70500;67900;2.90M;3.56%
19;Jul 08, 2019;67400;66400;68000;66200;2.20M;-1.46%
20;Jul 07, 2019;68400;68400;68400;68400;-;0.00%
21;Jul 05, 2019;68400;70300;71000;68400;2.04M;-2.56%
22;Jul 04, 2019;70200;69600;70700;69300;1.50M;1.59%
23;Jul 03, 2019;69100;71100;71700;69000;2.70M;-3.22%
24;Jul 02, 2019;71400;69700;71700;69100;2.48M;2.00%
25;Jul 01, 2019;70000;71000;71000;69700;3.53M;0.72%
26;Jun 30, 2019;69500;69500;69500;69500;-;0.00%
27;Jun 28, 2019;69500;70900;70900;68400;3.11M;-1.00%
28;Jun 27, 2019;70200;70100;71600;69700;5.32M;1.89%
29;Jun 26, 2019;68900;68300;69600;67900;5.02M;3.30%
30;Jun 25, 2019;66700;66700;67400;66300;1.87M;-0.30%
31;Jun 24, 2019;66900;65900;67400;65600;2.16M;1.52%
32;Jun 23, 2019;65900;65900;65900;65900;-;0.00%
33;Jun 21, 2019;65900;67100;67300;65900;2.40M;-2.08%
34;Jun 20, 2019;67300;67200;67400;66200;2.75M;0.15%
35;Jun 19, 2019;67200;65800;67300;65200;6.16M;5.99%
36;Jun 18, 2019;63400;63800;64200;63300;1.54M;-0.47%
37;Jun 17, 2019;63700;62800;63800;62400;2.43M;0.95%
38;Jun 16, 2019;63100;63100;63100;63100;-;0.00%
39;Jun 14, 2019;63100;63200;64000;62600;3.49M;-0.63%
40;Jun 13, 2019;63500;64900;65100;63300;5.91M;-3.35%
41;Jun 12, 2019;65700;66800;67100;65700;2.43M;-2.23%
42;Jun 11, 2019;67200;66900;67800;66700;2.42M;0.60%
43;Jun 10, 2019;66800;66100;67000;65800;3.09M;2.14%
44;Jun 07, 2019;65400;65200;66000;64600;2.35M;0.46%
45;Jun 05, 2019;65100;66900;67600;64900;4.81M;0.00%
46;Jun 04, 2019;65100;66500;66700;65100;2.77M;-2.25%
47;Jun 03, 2019;66600;65200;67200;64200;3.97M;1.99%
48;May 31, 2019;65300;65900;66900;64700;3.14M;-0.91%
49;May 30, 2019;65900;66300;66900;65800;3.01M;-0.30%
50;May 29, 2019;66100;65600;66700;64900;5.91M;0.30%
